Model,Label,Learning Rate,N Critic,Clip Value,Gradient Penalty,Kullback-Leibler Divergence,Inception Score
WCGAN,eduroam,5e-05,2.0,0.05,,0.011456857957994553,496.0291561896221
WCGAN,wpen-uji,5e-05,2.0,0.05,,0.500268099464666,459.11169605367627
WCGAN,lt1iot,5e-05,2.0,0.05,,0.727356727556291,996.5488097283305
WCGAN,cuatroochenta,5e-05,2.0,0.05,,0.2346662849800634,527.5214271539119
WCGAN,UJI,5e-05,2.0,0.05,,0.011771323359664649,501.8111311729184
WCGAN,GEOTECWIFI03,5e-05,2.0,0.1,,0.04590423264284737,729.4354873203479
WCGAN,480Invitados,5e-05,2.0,0.1,,0.1412219359105257,456.82032658413465
WCGAN,eduroam,5e-05,2.0,0.1,,0.008001670562019494,447.76869725184844
WCGAN,wpen-uji,5e-05,2.0,0.1,,0.2050715745747306,463.74565565559726
WCGAN,lt1iot,5e-05,2.0,0.1,,0.2992995462717318,520.5323677125923
WCGAN,cuatroochenta,5e-05,2.0,0.1,,0.15687245173190595,502.52096058658117
WCGAN,UJI,5e-05,2.0,0.1,,0.011954749202826069,537.7046880720347
WCGAN,GEOTECWIFI03,5e-05,3.0,0.001,,0.022713250304754816,699.2973569405044
WCGAN,480Invitados,5e-05,3.0,0.001,,0.22361640680694297,470.52426934586214
WCGAN,eduroam,5e-05,3.0,0.001,,0.013400988945476276,464.50186610426886
WCGAN,wpen-uji,5e-05,3.0,0.001,,0.3867545066090596,584.792080278546
WCGAN,lt1iot,5e-05,3.0,0.001,,0.4280825729868343,569.1293620941085
WCGAN,cuatroochenta,5e-05,3.0,0.001,,0.21612642048316477,515.0450941796036
WCGAN,UJI,5e-05,3.0,0.001,,0.009606086186980604,483.3765241943421
