Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
WcGAN (DA)-KNN,8,12,3.067624936783894,2.252203671604196,5.07242137838742,1.933348946135831
WcGAN (DA)-KNN,8,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
WcGAN (DA)-KNN,8,14,6.924034108040916,4.952712766799443,24.52936375041819,4.676241217798595
WcGAN (DA)-KNN,8,15,6.326095553488649,4.54832428637016,20.687253813984622,3.7652107728337243
WcGAN (DA)-KNN,8,16,7.026263213840611,5.0273053364735905,25.27379894613584,4.184859484777517
WcGAN (DA)-RF,8,0,5.077405822795277,3.744145166811078,14.018623030154753,3.2128742388758793
WcGAN (DA)-RF,8,1,6.431116357941206,4.733236200700058,22.403524931617522,4.194227283372361
WcGAN (DA)-RF,8,2,7.37608190866026,5.215677536201083,27.203292161632604,5.038371428571429
WcGAN (DA)-RF,8,3,3.769400789772667,3.0034295099491315,9.02058882123328,2.45001762295083
WcGAN (DA)-RF,8,4,3.692823591619277,2.9390785209278745,8.638182552179583,2.318325175644018
WcGAN (DA)-RF,8,5,1.0621348548070015,0.7510427583686201,0.5640652248979454,0.730842857142846
WcGAN (DA)-RF,8,6,2.378044511785334,1.9077033474584135,3.639332061904036,1.5596443208430864
WcGAN (DA)-RF,8,7,5.355536269975918,3.7876004085395776,14.345916854769175,3.0361394613583177
WcGAN (DA)-RF,8,8,6.951610491831407,4.936516950337453,24.369199600968994,4.462187529274007
WcGAN (DA)-RF,8,9,3.8156226844650285,2.69805267463444,7.279488235102056,2.6979428571428596
WcGAN (DA)-RF,8,10,2.486762525584292,1.9235608479493402,3.700086335763585,1.6125168618266874
WcGAN (DA)-RF,8,11,5.201053622162742,3.6777002855461287,13.525479390306078,3.587464285714279
WcGAN (DA)-RF,8,12,5.777169711611348,4.109143144808026,16.88505738452279,3.3545769906323106
WcGAN (DA)-RF,8,13,0.21102095117961978,0.14921434555154453,0.022264920918375737,0.11256428571432142
WcGAN (DA)-RF,8,14,6.425515199080483,4.604630561258325,21.20262260567416,4.467199531615928
WcGAN (DA)-RF,8,15,8.875242488246485,6.281711904420453,39.459904450137635,5.738258581465377
WcGAN (DA)-RF,8,16,7.005353349452355,4.983198855489278,24.832270833349657,4.748065021746396
WcGAN-GP (DA)-KNN,8,0,5.039645789193551,3.8090054562937574,14.508522566075616,3.358419203747073
WcGAN-GP (DA)-KNN,8,1,3.602979902838231,3.76269497871456,14.157873502843763,2.2060187353629974
WcGAN-GP (DA)-KNN,8,2,6.97896562711766,4.9348739206027235,24.352980612244895,4.827857142857144
WcGAN-GP (DA)-KNN,8,3,6.616179456324871,4.715071384392787,22.23189815991971,4.350913348946138
